Group 1,Group 2,Group 3,Group 4,Name,Nutrient,Minimum,Maximum
Game,Large Antelope,On poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Se,0,5
Game,Small Antelope,On Poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Se,0,5
Game,Deer,On Poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Se,0,5
Game,Deer,On Poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Se,0.2,5
Game,Small Antelope,On Poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Se,0.2,5
Game,Large Antelope,On poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Se,0.2,5
Game,Large Antelope,On poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Vit A,0,16000
Game,Small Antelope,On Poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Vit A,0,16000
Game,Deer,On Poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Vit A,0,16000
Game,Deer,On Poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Vit A,5000,16000
Game,Small Antelope,On Poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Vit A,5000,16000
Game,Large Antelope,On poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Vit A,3000,16000
Game,Large Antelope,On poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Vit D,0,2200
Game,Small Antelope,On Poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Vit D,0,2200
Game,Deer,On Poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Vit D,0,2200
Game,Deer,On Poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Vit D,1000,2200
Game,Small Antelope,On Poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Vit D,1000,2200
Game,Large Antelope,On poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Vit D,1000,2200
Game,Large Antelope,On poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Vit E,0,1000
Game,Small Antelope,On Poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Vit E,0,1000
Game,Deer,On Poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Vit E,0,1000
Game,Deer,On Poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Vit E,40,1000
Game,Small Antelope,On Poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Vit E,40,1000
Game,Large Antelope,On poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Vit E,30,1000
Game,Large Antelope,On poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Zn,0,500
Game,Small Antelope,On Poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Zn,0,500
Game,Deer,On Poor or very little grazing,MNE,"Finishing/Velveting ration, fed ad lib",Zn,0,500
Game,Deer,On Poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Zn,50,500
Game,Small Antelope,On Poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Zn,50,500
Game,Large Antelope,On poor or very little grazing,MNI,"Finishing/Velveting ration, fed ad lib",Zn,30,500
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",ADF,0,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",ADF,0,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",ADF,0,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",ADF,0,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Avail P,0,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Avail P,0,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Avail P,0,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Avail P,0,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Ca,0.29,0.58
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Ca,0.29,0.58
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Ca,0.29,0.58
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Ca,0.29,0.58
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",CF,0,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",CF,0,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",CF,0,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",CF,0,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Cl,0.3,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Cl,0.3,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Cl,0.3,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Cl,0.3,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Co,0,10
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Co,0,10
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Co,0.15,10
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Co,0.15,10
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",CP,8.2,9.5
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",CP,8.2,9.5
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",CP,8.2,9.5
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",CP,8.2,9.5
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Cu,0,25
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Cu,0,25
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Cu,9,25
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Cu,9,25
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",DESheep,2.34,4.414
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",DESheep,2.34,4.414
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",DESheep,2.34,4.414
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",DESheep,2.34,4.414
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",DM,0,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",DM,0,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",DM,0,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",DM,0,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",EE,0,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",EE,0,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",EE,0,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",EE,0,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",eNDF,20,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",eNDF,20,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",eNDF,20,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",eNDF,20,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Fe,0,500
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Fe,0,500
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Fe,50,500
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Fe,50,500
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",I,0,50
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",I,0,50
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",I,0.6,50
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",I,0.6,50
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",K,0.7,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",K,0.7,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",K,0.7,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",K,0.7,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",MESheep,1.89,4.414
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",MESheep,1.89,4.414
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",MESheep,1.89,4.414
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",MESheep,1.89,4.414
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Mg,0.15,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Mg,0.14,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Mg,0.14,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Mg,0.14,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Mn,0,1000
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Mn,0,1000
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Mn,40,1000
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Mn,40,1000
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Mo,0,10
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Mo,0,10
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Mo,0.5,10
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Mo,0.5,10
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Na,0.15,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Na,0.15,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Na,0.15,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Na,0.15,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",NDF,0,54.5
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",NDF,0,54.5
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",NDF,0,54.5
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",NDF,0,54.5
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",P,0.16,0.32
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",P,0.16,0.32
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",P,0.16,0.32
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",P,0.16,0.32
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",RUP,2.05,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",RUP,2.05,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",RUP,2.05,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",RUP,2.05,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",S,0,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",S,0,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",S,0.2,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",S,0.2,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Se,0,2
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Se,0,2
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Se,0.2,2
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Se,0.2,2
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",TDNSheep,53.1,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",TDNSheep,53.1,100
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",TDNSheep,53.1,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",TDNSheep,53.1,100
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Vit A,0,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Vit A,0,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Vit A,1000,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Vit A,1000,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Vit D,0,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Vit D,0,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Vit D,350,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Vit D,350,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Vit E,0,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Vit E,0,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Vit E,8,
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Vit E,8,
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Zn,0,750
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNE,"Flushing, 2 wks pre- to 3 weeks in breeding",Zn,0,750
,Sheep,"First Pregnancy Ewes, Flushing, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Zn,30,750
,Sheep,"Mature Ewes, Maintenance, Gestation and Lactation",MNI,"Flushing, 2 wks pre- to 3 weeks in breeding",Zn,30,750
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",ADF,18.9,100
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",ADF,18.9,100
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Avail P,0,
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Avail P,0,
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Ca,0.67,1.34
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Ca,0.67,1.34
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",CF,0,100
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",CF,0,100
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Cl,0.32,
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Cl,0.32,
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Co,0,25
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Co,0.1,25
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",CP,17,17.5
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",CP,17,17.5
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Cu,0,40
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Cu,12,40
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",DM,0,100
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",DM,0,100
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",EE,0,100
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",EE,0,100
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Fe,0,500
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Fe,17.1,500
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",I,0,50
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",I,0.3,50
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",K,1.07,
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",K,1.07,
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Mg,0.24,0.6
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Mg,0.24,0.6
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Mn,0,2000
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Mn,18.9,2000
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Mo,0,5
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Mo,0,5
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Na,0.31,
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",Na,0.31,
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",NDF,27,78
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",NDF,27,78
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",NElCattle,1.65,
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNI,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",NElCattle,1.65,
Dairy Cattle,Complete rations for lactating Cows,Large Breeds 3% BFat,MNE,"Fresh Cows, producing around 25 Kg (55 lb) milk with 3,0 %  Fat & 3-4 %  Protein",P,0.34,0.68
